# BEAST v1.8.2, r6687
# Generated Sat Apr 30 12:13:15 CDT 2022 [seed=1651338794855]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	clock.rate	treeLikelihood	coalescent
54000	-3216.89225232072	-21.33516558115028	-3195.55708673957	6.592765586453535	3.336814008287085	1.0	-3195.55708673957	-20.130149119138416
55000	-3213.5997765645893	-21.21477962390261	-3192.3849969406865	5.486199009135285	2.0746298797381706	1.0	-3192.3849969406865	-20.484996857340505
56000	-3220.7516555228026	-23.042579395442715	-3197.70907612736	5.582203033438276	2.8377968586767235	1.0	-3197.70907612736	-21.9995513983095
57000	-3215.147975379354	-20.970656217151127	-3194.1773191622033	4.793385356165647	2.591952853244016	1.0	-3194.1773191622033	-20.018244628161398
58000	-3217.954476829665	-23.40838155937576	-3194.5460952702892	5.975580746147593	3.000446026113649	1.0	-3194.5460952702892	-22.30962060638752
59000	-3216.582956759962	-22.852279422708257	-3193.730677337254	3.5338303769152786	1.6332761334238421	1.0	-3193.730677337254	-22.361691527225762
60000	-3213.2038982541358	-20.652118773638115	-3192.5517794804978	3.24031503483042	3.0907143412451803	1.0	-3192.5517794804978	-19.52371653104957
61000	-3215.067623783011	-22.40964050605345	-3192.6579832769576	7.354474511475774	3.2727792821017236	1.0	-3192.6579832769576	-21.224000948768676
62000	-3226.0429959497033	-30.107136456649055	-3195.935859493054	6.576388270588991	10.59657388028445	1.0	-3195.935859493054	-27.74660572661859
63000	-3213.516097168845	-20.3357558253041	-3193.180341343541	5.324420787061172	2.592443674808017	1.0	-3193.180341343541	-19.383154890625704
64000	-3215.007707365653	-20.76083198377905	-3194.246875381874	4.204890547593676	3.3827031881802085	1.0	-3194.246875381874	-19.542156834104965
65000	-3216.8768412088757	-22.559451271769813	-3194.317389937106	5.081319463797848	1.9339098212172907	1.0	-3194.317389937106	-21.899907503945126
66000	-3212.932400146984	-21.12809989505769	-3191.804300251926	3.177106630722732	3.1785920099691314	1.0	-3191.804300251926	-19.97166156047525
67000	-3215.286270380221	-21.520247593061526	-3193.7660227871597	3.731739786461771	3.519259728203007	1.0	-3193.7660227871597	-20.26199693005639
68000	-3215.761690593708	-22.58350011276076	-3193.1781904809473	3.9766105577246185	2.5201209898353314	1.0	-3193.1781904809473	-21.659193200550543
69000	-3214.9463612922923	-22.80835581102458	-3192.1380054812676	4.862745588839989	3.8082339575832904	1.0	-3192.1380054812676	-21.471190257541735
70000	-3214.7726715448835	-22.542294259712925	-3192.2303772851706	3.9285117079803054	2.290143543636165	1.0	-3192.2303772851706	-21.71367976130071
71000	-3214.456709970138	-21.496551885134366	-3192.9601580850035	5.779404143804298	1.8796619283283242	1.0	-3192.9601580850035	-20.865459949820302
72000	-3215.596461868345	-22.123348520313932	-3193.4731133480313	9.393562869495284	3.1012692910417523	1.0	-3193.4731133480313	-20.99153704390094
73000	-3212.5782514740804	-19.972177289878417	-3192.606074184202	4.420069689680747	2.532951574766757	1.0	-3192.606074184202	-19.042792036780764
74000	-3228.6695370464276	-29.551079990880652	-3199.118457055547	9.47936068388023	5.0049219309876545	1.0	-3199.118457055547	-27.940658176439385
75000	-3219.3643089497095	-22.451900439199544	-3196.91240851051	4.3929867887508625	4.202592526596076	1.0	-3196.91240851051	-21.01619883610474
76000	-3224.1307105311616	-21.164702314182517	-3202.966008216979	2.747229076770841	2.8681102463423884	1.0	-3202.966008216979	-20.11104895203667
77000	-3212.558860553725	-20.852436105254565	-3191.7064244484704	4.032734650434565	3.403164068597672	1.0	-3191.7064244484704	-19.62773049796892
78000	-3214.1784529968963	-21.044585725040545	-3193.1338672718557	3.050746489978654	3.6458410355036093	1.0	-3193.1338672718557	-19.750998649431878
79000	-3214.1057686602417	-20.363174346510874	-3193.742594313731	3.133702726909677	2.6338006836572023	1.0	-3193.742594313731	-19.394746416646267
80000	-3217.1625532678245	-21.068873164567275	-3196.093680103257	5.730159937266426	2.7450880600210037	1.0	-3196.093680103257	-20.059060009966966
81000	-3217.940806642281	-22.336994401878012	-3195.603812240403	5.0525158321089645	3.3133959538101707	1.0	-3195.603812240403	-21.13902077051594
82000	-3217.18699730576	-21.489547245721823	-3195.697450060038	4.97365349046125	2.48701842543536	1.0	-3195.697450060038	-20.578462672228618
83000	-3215.616527616043	-21.65993200809558	-3193.9565956079477	4.987352171997077	3.7898100017060283	1.0	-3193.9565956079477	-20.32761612173385
84000	-3214.5973510585486	-20.73793298745504	-3193.8594180710934	2.8805862178196366	3.5305599181040446	1.0	-3193.8594180710934	-19.47647651206154
85000	-3219.685653883535	-26.069524672304425	-3193.6161292112306	9.853622531684696	5.644073140043052	1.0	-3193.6161292112306	-24.338918679495794
86000	-3218.076000887471	-21.418104142434856	-3196.657896745036	4.277453870098401	3.210993890619354	1.0	-3196.657896745036	-20.251523629970414
87000	-3218.7235611404612	-23.15565233709099	-3195.5679088033703	6.508132414441356	3.9603079156560175	1.0	-3195.5679088033703	-21.779330558368688
88000	-3213.187127583655	-20.675377958303827	-3192.5117496253515	3.3678405973021444	3.3690656545338284	1.0	-3192.5117496253515	-19.46074250622904
89000	-3212.7158396911004	-20.860020080925235	-3191.8558196101753	3.303195141667853	2.4149814395521987	1.0	-3191.8558196101753	-19.978328479335865
90000	-3218.763819078429	-24.307882539609835	-3194.4559365388195	3.539471950954891	6.232910618157152	1.0	-3194.4559365388195	-22.47803912198587
91000	-3212.3946421035535	-20.43287378447962	-3191.961768319074	3.3581659713150858	2.3477874168547577	1.0	-3191.961768319074	-19.57940042457904
92000	-3216.9066927975814	-23.319908869402266	-3193.586783928179	7.880539976199087	4.061080698614473	1.0	-3193.586783928179	-21.918459749284
93000	-3220.8805041951823	-25.457614706426433	-3195.422889488756	12.645519462901369	3.7651573760008916	1.0	-3195.422889488756	-24.13182504631353
94000	-3222.731783399444	-25.116855387626305	-3197.6149280118175	8.136114343346797	1.7094648554117564	1.0	-3197.6149280118175	-24.58067501614243
95000	-3216.8249579867556	-22.11601075052166	-3194.708947236234	3.1186449986831457	1.6975454222242408	1.0	-3194.708947236234	-21.586827412123057
96000	-3217.714435730816	-22.113455769482616	-3195.6009799613335	5.774721986575462	3.3597949550294923	1.0	-3195.6009799613335	-20.901575822658465
97000	-3217.7167507829117	-20.10338904913444	-3197.6133617337773	3.442324211632621	2.68301760856117	1.0	-3197.6133617337773	-19.116446914700497
98000	-3218.4789759962227	-22.559335748082017	-3195.9196402481407	6.176170297359494	3.3563399041789563	1.0	-3195.9196402481407	-21.34848468207332
99000	-3214.773058907582	-21.468965443140636	-3193.304093464441	5.957044180374487	2.413237796856406	1.0	-3193.304093464441	-20.587996113132657
100000	-3219.37707088507	-24.30913845960505	-3195.067932425465	7.220321227385213	4.3436427986033666	1.0	-3195.067932425465	-22.840425109036847
101000	-3215.6671481686294	-22.432898992484954	-3193.2342491761447	4.311480493639736	2.6129594184678475	1.0	-3193.2342491761447	-21.472415536695536
102000	-3219.400683937317	-20.857064949462348	-3198.5436189878546	3.228932839695976	1.3636007642344077	1.0	-3198.5436189878546	-20.546936127727385
103000	-3216.144354702568	-21.38746752340251	-3194.7568871791655	4.74652658506375	1.645225429458164	1.0	-3194.7568871791655	-20.889590109389893
104000	-3218.7069401288018	-21.764444950924496	-3196.9424951778774	3.9231043546299897	2.899321654448552	1.0	-3196.9424951778774	-20.699968153552927
105000	-3219.2953118168384	-23.78830199669784	-3195.5070098201404	4.588035201004572	4.88636310166101	1.0	-3195.5070098201404	-22.20185371191596
106000	-3217.5947506169964	-21.37456835770571	-3196.2201822592906	3.4956384621254304	2.2143720750042384	1.0	-3196.2201822592906	-20.579599481981546
107000	-3225.369327295446	-28.762671272145816	-3196.6066560233003	26.07894501282037	5.498086457779266	1.0	-3196.6066560233003	-27.058271157211877
108000	-3226.196923496704	-30.044403059496627	-3196.1525204372074	36.50183562791328	5.763115251036302	1.0	-3196.1525204372074	-28.29292488879745
109000	-3228.079058845903	-27.469503064327395	-3200.6095557815756	15.081532571870156	3.859415679696589	1.0	-3200.6095557815756	-26.118987270626455
110000	-3218.750563317621	-21.328815208273333	-3197.421748109348	4.219810379017448	1.4202285669040469	1.0	-3197.421748109348	-20.97799738700477
111000	-3212.36750565659	-19.609924204746736	-3192.757581451843	2.7295509955627746	1.5672473805196616	1.0	-3192.757581451843	-19.160603384962595
112000	-3221.7748691884717	-26.267089110535856	-3195.507780077936	16.319162912155914	3.766176058184198	1.0	-3195.507780077936	-24.94102893200854
